Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/18 11:45:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 11:45:44 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 11:45:57 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/18 11:46:12 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 11:46:24 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 11:46:36 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 11:46:36 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 11:47:45 PM MDT,,,,Very interested,,
2017/10/18 11:47:54 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 11:48:59 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 11:49:06 PM MDT,,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:50:07 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:50:07 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 11:51:00 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 11:51:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 11:51:39 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 11:51:55 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:52:21 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 11:52:22 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 11:52:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:52:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:54:32 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:54:41 PM MDT,Not interested,Very interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 11:56:59 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:58:03 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 11:59:43 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:00:05 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 12:00:30 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:01:46 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:02:39 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:03:09 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:03:38 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:04:00 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:04:38 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 12:04:59 AM MDT,Not interested,Very interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/19 12:05:28 AM MDT,,Very interested,,Very interested,,
2017/10/19 12:05:47 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:05:52 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:07:00 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:07:28 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:08:06 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:08:14 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:08:58 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:10:04 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:10:15 AM MDT,Very interested,Very interested,Very interested,,Very interested,Very interested
2017/10/19 12:11:03 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:11:11 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:11:15 AM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/19 12:11:24 AM MDT,Very interested,Very interested,Somewhat interested,Not interested,Very interested,Very interested
2017/10/19 12:11:34 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/19 12:12:14 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:13:02 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:13:32 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:13:32 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 12:14:29 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:15:06 AM MDT,,,,Very interested,,Very interested
2017/10/19 12:17:51 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:18:08 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:19:46 AM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 12:21:51 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:21:57 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:22:22 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:22:34 AM MDT,Very interested,,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:22:46 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:23:02 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:23:16 AM MDT,Very interested,Very interested,,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:23:31 AM MDT,Not interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:24:38 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:25:37 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:25:45 AM MDT,Very interested,Very interested,Very interested,,,Very interested
2017/10/19 12:26:11 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:26:34 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:27:01 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:27:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 12:27:31 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:27:54 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:28:04 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:28:13 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:28:56 AM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/19 12:30:16 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:31:17 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:32:14 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 12:32:22 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:34:31 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:36:11 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:36:11 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:36:46 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:36:52 AM MDT,Not interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 12:37:00 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:39:18 AM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested
2017/10/19 12:40:13 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:40:58 AM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:41:19 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:41:25 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:41:35 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:41:52 AM MDT,Not interested,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 12:42:43 AM MDT,Somewhat interested,Very interested,Very interested,,Not interested,Somewhat interested
2017/10/19 12:43:05 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:43:48 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:44:10 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:44:33 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested
2017/10/19 12:44:46 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 12:45:12 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:45:20 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:45:33 AM MDT,Somewhat interested,Not interested,Very interested,,Somewhat interested,
2017/10/19 12:45:58 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:46:55 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:48:23 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:48:59 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:50:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:50:21 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:50:32 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:51:22 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:51:23 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 12:51:47 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 12:52:46 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:52:54 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/19 12:53:49 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 12:54:22 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:54:52 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 12:54:56 AM MDT,Very interested,Not interested,Very interested,Somewhat interested,Very interested,Not interested
2017/10/19 12:55:41 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:56:39 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 12:56:39 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 12:58:33 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/19 12:58:33 AM MDT,Very interested,Very interested,Very interested,Very interested,,
2017/10/19 12:59:21 AM MDT,Not interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 12:59:35 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:01:01 AM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:01:10 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:01:35 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:02:04 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:02:17 AM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/19 1:02:19 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:03:47 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:06:44 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:07:33 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:07:55 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:08:06 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:08:47 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:08:57 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:09:22 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:09:25 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:09:38 AM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/19 1:11:12 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:12:34 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:12:43 AM MDT,Not interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:12:57 AM MDT,Not interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:13:17 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 1:13:21 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/19 1:14:03 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 1:14:59 AM MDT,Somewhat interested,Not interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 1:15:43 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:16:20 AM MDT,Very interested,Very interested,Not interested,Somewhat interested,Not interested,Very interested
2017/10/19 1:18:07 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:18:20 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:18:25 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 1:18:41 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:19:50 AM MDT,Somewhat interested,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/19 1:20:09 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 1:20:28 AM MDT,Not interested,Not interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/19 1:20:46 AM MDT,Not interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/19 1:23:43 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 1:23:49 AM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:24:15 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 1:24:38 AM MDT,Very interested,Very interested,Very interested,,Somewhat interested,Somewhat interested
2017/10/19 1:25:09 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:25:29 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/19 1:25:34 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 1:25:35 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:26:17 AM MDT,Very interested,Not interested,Very interested,Not interested,Very interested,Very interested
2017/10/19 1:26:19 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 1:26:20 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:26:21 AM MDT,Very interested,Not interested,Very interested,Very interested,Not interested,Not interested
2017/10/19 1:27:08 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:27:17 AM MDT,Not interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 1:27:46 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:29:15 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:30:04 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:30:22 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/19 1:30:25 AM MDT,Very interested,Not interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 1:31:36 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 1:33:28 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:33:36 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 1:33:55 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 1:33:57 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/19 1:34:08 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:35:41 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:35:57 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 1:36:59 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 1:37:51 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:37:55 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:38:51 AM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:39:31 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:39:40 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:39:52 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:40:38 AM MDT,Very interested,,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:42:31 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:43:32 AM MDT,,Not interested,Very interested,Very interested,,Very interested
2017/10/19 1:45:06 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:46:12 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 1:46:51 AM MDT,Not interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 1:48:54 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 1:49:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:49:53 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 1:50:28 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:51:41 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 1:51:44 AM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:52:59 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/19 1:53:15 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:54:17 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,,Somewhat interested
2017/10/19 1:56:21 AM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/19 1:56:29 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 1:57:31 AM MDT,,,,,,
2017/10/19 1:57:35 AM MDT,Not interested,Somewhat interested,Not interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 1:58:03 AM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/19 1:58:14 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 1:59:47 AM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:00:22 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:01:24 AM MDT,,,Somewhat interested,,,
2017/10/19 2:01:26 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:01:39 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:03:36 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:03:56 AM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:04:32 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:04:36 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/19 2:04:48 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:05:32 AM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:06:25 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:06:55 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 2:07:08 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:08:38 AM MDT,Not interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 2:08:39 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:11:04 AM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:11:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 2:11:37 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:13:45 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:15:00 AM MDT,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/19 2:15:37 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:20:32 AM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:20:58 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:21:34 AM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:21:46 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/19 2:23:32 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:24:43 AM MDT,Very interested,Somewhat interested,Very interested,Not interested,Very interested,Very interested
2017/10/19 2:25:26 AM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/19 2:25:39 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 2:26:37 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/19 2:28:10 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:28:40 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/19 2:29:51 AM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/19 2:30:45 AM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/19 2:32:43 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/19 2:33:00 AM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
